tid,boss,start_codon_x,start_codon_y,ORF_range_x,ORF_type_x,start_rprofile_x,ORF_range_y,ORF_type_y,start_rprofile_y,tab,odds_ratio,statistical test,result
ENST00000005286.8,uORF,ATG,ATG,"[92, 119]",uORF,"[6.0, 0.0, 0.0]","[153, 3228]",mORF,"[0.0, 0.0, 0.0]","[array([[ 169,    0,    0],
       [1705,   54,   81]]), array([[ 169,    1],
       [1705,  135]])]",13.37407336163938,ChiSquare,"ChiSquareResult(statistic=24.59974596574765, adjusted_pvalue=1.4226008279071932e-05, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[ 3.64591467, -2.25760474, -2.78428318],
       [-3.64591467,  2.25760474,  2.78428318]]), adjusted_posthoc_pvalues=[0.0008270141478773577, 0.0008270141478773577])"
ENST00000033079.7,uORF,ATG,ATG,"[290, 338]",uORF,"[17.0, 1.0, 14.0]","[452, 3200]",mORF,"[10.0, 0.0, 3.0]","[array([[ 88,   1,  21],
       [536,  96, 102]]), array([[ 88,  22],
       [536, 198]])]",1.4769766417673518,ChiSquare,"ChiSquareResult(statistic=21.99988449348215, adjusted_pvalue=4.796021274684825e-05, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[ 1.5541247 , -3.73213584,  1.43990914],
       [-1.5541247 ,  3.73213584, -1.43990914]]), adjusted_posthoc_pvalues=[0.17794961599001263, 0.17794961599001263])"
ENST00000038176.8,uORF,ATG,ATG,"[28, 40]",uORF,"[97.0, 0.0, 0.0]","[222, 2976]",mORF,"[0.0, 0.0, 0.0]","[array([[ 97,   0,   0],
       [646,  43,  60]]), array([[ 97,   1],
       [646, 103]])]",15.444054240750841,ChiSquare,"ChiSquareResult(statistic=26.86639557115123, adjusted_pvalue=4.850420143586778e-06, adjusted_bootstrap_pvalue=0.0024390243902439024, adjusted_residuals=array([[ 3.89721482, -2.42218101, -2.89197472],
       [-3.89721482,  2.42218101,  2.89197472]]), adjusted_posthoc_pvalues=[0.00033009172995183815, 0.00033009172995183815])"
ENST00000054650.9,uORF,ATG,ATG,"[82, 259]",uORF,"[0.0, 0.0, 0.0]","[156, 876]",mORF,"[0.0, 74.0, 0.0]","[array([[ 74,   0,  14],
       [186,  82,  32]]), array([[ 74,  14],
       [186, 114]])]",3.2309684103178244,ChiSquare,"ChiSquareResult(statistic=48.350022219251954, adjusted_pvalue=1.6990126756303162e-10, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[ 3.87560722, -5.52258977,  1.33769782],
       [-3.87560722,  5.52258977, -1.33769782]]), adjusted_posthoc_pvalues=[0.0003576403643357997, 0.0003576403643357997])"
ENST00000203630.10,uORF,ATG,ATG,"[174, 186]",uORF,"[1201.0, 3.0, 7.0]","[231, 978]",mORF,"[875.0, 24.0, 19.0]","[array([[1282,   52,   20],
       [7280,  760,  506]]), array([[1282,   72],
       [7280, 1266]])]",3.0961492520038227,ChiSquare,"ChiSquareResult(statistic=114.31968592792768, adjusted_pvalue=1.9368832703935978e-24, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[ 9.49621099, -6.29519396, -6.77340314],
       [-9.49621099,  6.29519396,  6.77340314]]), adjusted_posthoc_pvalues=[3.1685626197549167e-20, 3.1685626197549167e-20])"
ENST00000203630.10,dORF,ATG,ATG,"[967, 1084]",dORF,"[0.0, 0.0, 0.0]","[231, 978]",mORF,"[875.0, 24.0, 19.0]","[array([[  66,    1,    0],
       [7280,  760,  506]]), array([[  66,    1],
       [7280, 1266]])]",11.47605626079617,ChiSquare,"ChiSquareResult(statistic=15.535342836534799, adjusted_pvalue=0.0009656293770882885, adjusted_bootstrap_pvalue=0.011036468330134358, adjusted_residuals=array([[ 3.06642621, -2.12605926, -2.05294991],
       [-3.06642621,  2.12605926,  2.05294991]]), adjusted_posthoc_pvalues=[0.00544545161133221, 0.00544545161133221])"
ENST00000219320.9,uORF,ATG,ATG,"[5, 71]",uORF,"[0.0, 0.0, 0.0]","[393, 1782]",mORF,"[0.0, 0.0, 0.0]","[array([[148,   3,   0],
       [534,  20,  22]]), array([[148,   3],
       [534,  42]])]",3.875240265872272,ChiSquare,"ChiSquareResult(statistic=11.529928975465658, adjusted_pvalue=0.005969921717498901, adjusted_bootstrap_pvalue=0.04350328947368421, adjusted_residuals=array([[ 2.40794541, -0.92828163, -2.43871595],
       [-2.40794541,  0.92828163,  2.43871595]]), adjusted_posthoc_pvalues=[0.03198984314933372, 0.03198984314933372])"
ENST00000219905.13,uORF,ATG,ATG,"[122, 140]",uORF,"[47.0, 0.0, 0.0]","[188, 9386]",mORF,"[0.0, 0.0, 1.0]","[array([[ 184,    0,    0],
       [3038,  184,  184]]), array([[ 184,    1],
       [3038,  368]])]",22.28140131971616,ChiSquare,"ChiSquareResult(statistic=40.91684851743617, adjusted_pvalue=6.018908334670225e-09, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[ 4.70646632, -3.23683382, -3.23683382],
       [-4.70646632,  3.23683382,  3.23683382]]), adjusted_posthoc_pvalues=[1.0597979643409969e-05, 1.0597979643409969e-05])"
ENST00000220531.9,dORF,ATG,ATG,"[2141, 2165]",dORF,"[5.0, 0.0, 0.0]","[65, 584]",mORF,"[7.0, 1.0, 12.0]","[array([[ 15,   0,   0],
       [764, 199, 316]]), array([[ 15,   1],
       [764, 515]])]",10.100121607886756,ChiSquare,"ChiSquareResult(statistic=15.340621388570144, adjusted_pvalue=0.0010508203748106377, adjusted_bootstrap_pvalue=0.013080568720379146, adjusted_residuals=array([[ 3.16746906, -1.66072213, -2.21437724],
       [-3.16746906,  1.66072213,  2.21437724]]), adjusted_posthoc_pvalues=[0.004000857097653762, 0.004000857097653762])"
ENST00000222803.10,uORF,ATG,ATG,"[136, 169]",uORF,"[1382.0, 1.0, 0.0]","[194, 830]",mORF,"[58.0, 0.0, 0.0]","[array([[1470,   14,    5],
       [1730,   46,  255]]), array([[1470,   19],
       [1730,  301]])]",13.45458748849187,ChiSquare,"ChiSquareResult(statistic=266.3654806944774, adjusted_pvalue=6.510711363090464e-57, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[ 13.80953296,  -2.99962035, -13.69414751],
       [-13.80953296,   2.99962035,  13.69414751]]), adjusted_posthoc_pvalues=[7.664645294131006e-42, 7.664645294131006e-42])"
ENST00000223023.5,uORF,ATG,ATG,"[156, 171]",uORF,"[509.0, 9.0, 3.0]","[269, 1787]",mORF,"[10.0, 0.0, 3.0]","[array([[578,   9,   4],
       [994,  30, 191]]), array([[578,  13],
       [994, 221]])]",9.877150037229338,ChiSquare,"ChiSquareResult(statistic=134.5446334154923, adjusted_pvalue=9.324824051706401e-29, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[ 9.49391211, -1.29812309, -9.66540621],
       [-9.49391211,  1.29812309,  9.66540621]]), adjusted_posthoc_pvalues=[3.218881558558859e-20, 3.218881558558859e-20])"
ENST00000223641.5,dORF,ATG,ATG,"[456, 507]",dORF,"[0.0, 0.0, 0.0]","[82, 373]",mORF,"[491.0, 4.0, 0.0]","[array([[  67,    0,    6],
       [4504,  714,  482]]), array([[  67,    6],
       [4504, 1196]])]",2.96481800861338,ChiSquare,"ChiSquareResult(statistic=19.58801402923416, adjusted_pvalue=0.0001483298393582572, adjusted_bootstrap_pvalue=0.004732510288065843, adjusted_residuals=array([[ 2.66872622, -3.23029025, -0.072318  ],
       [-2.66872622,  3.23029025,  0.072318  ]]), adjusted_posthoc_pvalues=[0.01672596136340899, 0.01672596136340899])"
ENST00000225308.12,uORF,ATG,ATG,"[106, 154]",uORF,"[0.0, 0.0, 0.0]","[175, 1231]",mORF,"[598.129, 7.67727, 0.0]","[array([[ 574,   10,    4],
       [2122,  145,  178]]), array([[ 574,   14],
       [2122,  324]])]",6.2578251050941835,ChiSquare,"ChiSquareResult(statistic=78.64981554054621, adjusted_pvalue=7.188298920786334e-17, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[ 7.50248425, -4.18188292, -6.05015906],
       [-7.50248425,  4.18188292,  6.05015906]]), adjusted_posthoc_pvalues=[5.830969300703068e-13, 5.830969300703068e-13])"
ENST00000225737.11,uORF,ATG,ATG,"[28, 106]",uORF,"[3.0, 0.0, 0.0]","[149, 2138]",mORF,"[0.0, 0.0, 0.0]","[array([[184,   5,   1],
       [685, 116,  62]]), array([[184,   6],
       [685, 178]])]",7.95940376807119,ChiSquare,"ChiSquareResult(statistic=44.9818574781395, adjusted_pvalue=8.499622083185949e-10, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[ 5.74006127, -4.22977815, -3.50305879],
       [-5.74006127,  4.22977815,  3.50305879]]), adjusted_posthoc_pvalues=[5.510817749173211e-08, 5.510817749173211e-08])"
ENST00000225964.10,uORF,ATG,ATG,"[59, 74]",uORF,"[621.0, 18.0, 10.0]","[118, 4513]",mORF,"[461.0, 27.0, 100.0]","[array([[  701,    18,    10],
       [94386,  9993,  8686]]), array([[  701,    28],
       [94386, 18679]])]",4.954530449945382,ChiSquare,"ChiSquareResult(statistic=117.33684499378549, adjusted_pvalue=4.383352886135817e-25, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[ 9.20733897, -6.05155107, -6.3929125 ],
       [-9.20733897,  6.05155107,  6.3929125 ]]), adjusted_posthoc_pvalues=[4.604264573002444e-19, 4.604264573002444e-19])"
ENST00000225964.10,uORF,ATG,ATG,"[101, 116]",uORF,"[277.0, 0.0, 2.0]","[118, 4513]",mORF,"[461.0, 27.0, 100.0]","[array([[  282,     0,     2],
       [94386,  9993,  8686]]), array([[  282,     2],
       [94386, 18679]])]",27.903632839224002,ChiSquare,"ChiSquareResult(statistic=88.16795728784604, adjusted_pvalue=7.002148361379349e-19, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[ 7.17524929, -5.24667327, -4.41484833],
       [-7.17524929,  5.24667327,  4.41484833]]), adjusted_posthoc_pvalues=[6.336021347905275e-12, 6.336021347905275e-12])"
ENST00000228437.10,uORF,ATG,ATG,"[237, 342]",uORF,"[0.0, 0.0, 0.0]","[437, 2843]",mORF,"[0.0, 0.0, 0.0]","[array([[144,   0,   0],
       [557,  16,  25]]), array([[144,   1],
       [557,  41]])]",10.582984406427295,ChiSquare,"ChiSquareResult(statistic=18.261354781783343, adjusted_pvalue=0.00027280620966036817, adjusted_bootstrap_pvalue=0.009037328094302554, adjusted_residuals=array([[ 3.23270091, -1.98437747, -2.4959911 ],
       [-3.23270091,  1.98437747,  2.4959911 ]]), adjusted_posthoc_pvalues=[0.0032681286997916998, 0.0032681286997916998])"
ENST00000228506.8,uORF,ATG,ATG,"[31, 79]",uORF,"[110.0, 0.0, 0.0]","[148, 1027]",mORF,"[12.0, 0.0, 0.0]","[array([[ 355,    7,   13],
       [1541,  197,  126]]), array([[ 355,   20],
       [1541,  323]])]",3.7189137054129358,ChiSquare,"ChiSquareResult(statistic=47.71667128238403, adjusted_pvalue=2.3051255800897e-10, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[ 5.88436226, -5.34302942, -2.41123199],
       [-5.88436226,  5.34302942,  2.41123199]]), adjusted_posthoc_pvalues=[2.4772534687309936e-08, 2.4772534687309936e-08])"
ENST00000228705.7,uORF,ATG,ATG,"[177, 270]",uORF,"[61.0, 0.0, 0.0]","[414, 1959]",mORF,"[3.0, 0.0, 0.0]","[array([[ 66,   0,   0],
       [432,   8,  92]]), array([[ 66,   1],
       [432, 100]])]",15.245676546760963,ChiSquare,"ChiSquareResult(statistic=25.747900581753793, adjusted_pvalue=8.247763942285468e-06, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[ 3.85968687, -1.00296489, -3.67269953],
       [-3.85968687,  1.00296489,  3.67269953]]), adjusted_posthoc_pvalues=[0.00037899063316771113, 0.00037899063316771113])"
ENST00000237455.5,uORF,ATG,ATG,"[3, 159]",uORF,"[0.0, 0.0, 0.0]","[979, 3037]",mORF,"[1.0, 0.0, 0.0]","[array([[ 49,   4,   0],
       [460,  65, 101]]), array([[ 49,   4],
       [460, 166]])]",4.413988494175354,ChiSquare,"ChiSquareResult(statistic=19.034564797511848, adjusted_pvalue=0.00019184744619149468, adjusted_bootstrap_pvalue=0.004732510288065843, adjusted_residuals=array([[ 3.06092841, -0.65616029, -3.16943919],
       [-3.06092841,  0.65616029,  3.16943919]]), adjusted_posthoc_pvalues=[0.005528314190172868, 0.005528314190172868])"
ENST00000239165.9,dORF,ATG,ATG,"[756, 846]",dORF,"[3.0, 0.0, 0.0]","[99, 753]",mORF,"[3.0, 0.0, 0.0]","[array([[ 22,   0,   0],
       [373, 154,  93]]), array([[ 22,   1],
       [373, 247]])]",14.533870086664887,ChiSquare,"ChiSquareResult(statistic=21.856975941605263, adjusted_pvalue=5.1193022659237655e-05, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[ 3.77426977, -2.68122623, -1.96443793],
       [-3.77426977,  2.68122623,  1.96443793]]), adjusted_posthoc_pvalues=[0.0005205884010367023, 0.0005205884010367023])"
ENST00000239165.9,dORF,ATG,ATG,"[1017, 1101]",dORF,"[9.0, 0.0, 0.0]","[99, 753]",mORF,"[3.0, 0.0, 0.0]","[array([[ 18,   0,   0],
       [373, 154,  93]]), array([[ 18,   1],
       [373, 247]])]",11.892072302307286,ChiSquare,"ChiSquareResult(statistic=17.95568591505502, adjusted_pvalue=0.00031509430220392196, adjusted_bootstrap_pvalue=0.004732510288065843, adjusted_residuals=array([[ 3.42066737, -2.42766315, -1.77784531],
       [-3.42066737,  2.42766315,  1.77784531]]), adjusted_posthoc_pvalues=[0.0017825765964812014, 0.0017825765964812014])"
ENST00000242275.7,uORF,ATG,ATG,"[115, 187]",uORF,"[37.0, 0.0, 0.0]","[224, 1118]",mORF,"[4.0, 0.0, 0.0]","[array([[111,   0,   3],
       [321,  27,  60]]), array([[111,   3],
       [321,  87]])]",10.001837301917483,ChiSquare,"ChiSquareResult(statistic=31.49694436779867, adjusted_pvalue=5.483584965838041e-07, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[ 4.67099338, -2.82056997, -3.49867197],
       [-4.67099338,  2.82056997,  3.49867197]]), adjusted_posthoc_pvalues=[1.249189793434309e-05, 1.249189793434309e-05])"
ENST00000242577.11,dORF,ATG,ATG,"[384, 438]",dORF,"[12.0, 5.0, 0.0]","[110, 380]",mORF,"[693.0, 92.0, 5.0]","[array([[   50,     9,     1],
       [12794,   917,  2136]]), array([[   50,    10],
       [12794,  3053]])]",1.1931248707064217,ChiSquare,"ChiSquareResult(statistic=16.076004091827713, adjusted_pvalue=0.0007541047414842393, adjusted_bootstrap_pvalue=0.011036468330134358, adjusted_residuals=array([[ 0.50955854,  3.04220216, -2.67797047],
       [-0.50955854, -3.04220216,  2.67797047]]), adjusted_posthoc_pvalues=[0.6865624613052316, 0.6865624613052316])"
ENST00000243077.8,uORF,ATG,ATG,"[182, 194]",uORF,"[60.0, 0.0, 0.0]","[482, 14117]",mORF,"[0.0, 0.0, 0.0]","[array([[   70,     1,     0],
       [15552,   678,  1231]]), array([[   70,     1],
       [15552,  1909]])]",8.591982974703262,ChiSquare,"ChiSquareResult(statistic=12.167462902213488, adjusted_pvalue=0.004481629876616317, adjusted_bootstrap_pvalue=0.026251097453906934, adjusted_residuals=array([[ 2.57060879, -1.07842858, -2.32023649],
       [-2.57060879,  1.07842858,  2.32023649]]), adjusted_posthoc_pvalues=[0.021520354826810556, 0.021520354826810556])"
ENST00000243918.10,uORF,ATG,ATG,"[74, 116]",uORF,"[15.0, 4.0, 0.0]","[163, 634]",mORF,"[1.0, 1.0, 2.0]","[array([[179,   4,   0],
       [433,  16,  85]]), array([[179,   4],
       [433, 101]])]",10.417909764018969,ChiSquare,"ChiSquareResult(statistic=54.77064766951885, adjusted_pvalue=7.598394614589276e-12, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[ 5.52371301, -0.57458886, -5.74864404],
       [-5.52371301,  0.57458886,  5.74864404]]), adjusted_posthoc_pvalues=[1.8132820411628324e-07, 1.8132820411628324e-07])"
ENST00000244519.7,uORF,ATG,ATG,"[83, 98]",uORF,"[60.0, 0.0, 0.0]","[211, 1966]",mORF,"[0.0, 0.0, 0.0]","[array([[ 68,   0,   0],
       [371,  16,  29]]), array([[ 68,   1],
       [371,  46]])]",8.412033201328605,ChiSquare,"ChiSquareResult(statistic=14.359498928991552, adjusted_pvalue=0.0016422446008022777, adjusted_bootstrap_pvalue=0.011036468330134358, adjusted_residuals=array([[ 2.8477671 , -1.64462746, -2.24555539],
       [-2.8477671 ,  1.64462746,  2.24555539]]), adjusted_posthoc_pvalues=[0.010322365133220043, 0.010322365133220043])"
