tid,boss,start_codon_x,start_codon_y,ORF_range_x,ORF_type_x,start_rprofile_x,ORF_range_y,ORF_type_y,start_rprofile_y,tab,odds_ratio,statistical test,result
AT1G04520.1,uORF,ATG,ATG,"[301, 322]",uORF,"[12.0, 0.0, 0.0]","[400, 1324]",mORF,"[38.0, 0.0, 0.0]","[array([[ 560,    6,    2],
       [3090,  188,   22]]), array([[ 560,    8],
       [3090,  211]])]",4.778775802826686,ChiSquare,"ChiSquareResult(statistic=31.348176033534532, adjusted_pvalue=7.446613152925368e-07, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[ 4.72998347, -4.68037907, -0.8818044 ],
       [-4.72998347,  4.68037907,  0.8818044 ]]), adjusted_posthoc_pvalues=[6.657005416667688e-06, 6.657005416667688e-06])"
AT1G09800.1,uORF,ATG,ATG,"[66, 210]",uORF,"[0.0, 0.0, 0.0]","[398, 1517]",mORF,"[0.0, 0.0, 0.0]","[array([[1561,   12,   64],
       [ 125,   26,    0]]), array([[1561,   77],
       [ 125,   26]])]",4.211167684345353,ChiSquare,"ChiSquareResult(statistic=96.9454350436913, adjusted_pvalue=1.6389218777126726e-20, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[  6.37539233, -13.43964305,   2.47439624],
       [ -6.37539233,  13.43964305,  -2.47439624]]), adjusted_posthoc_pvalues=[7.889577577153841e-10, 7.889577577153841e-10])"
AT1G09800.2,uORF,ATG,ATG,"[66, 210]",uORF,"[0.0, 0.0, 0.0]","[398, 1517]",mORF,"[0.0, 0.0, 0.0]","[array([[11697,    96,   481],
       [  734,    44,     2]]), array([[11697,   578],
       [  734,    47]])]",1.2958027372093628,ChiSquare,"ChiSquareResult(statistic=130.18983060048436, adjusted_pvalue=1.5851577144775258e-27, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[  1.51987101, -12.77480661,   5.25441673],
       [ -1.51987101,  12.77480661,  -5.25441673]]), adjusted_posthoc_pvalues=[0.19509507060508802, 0.19509507060508802])"
AT1G14710.1,uORF,ATG,ATG,"[350, 365]",uORF,"[108.823, 0.0, 0.0]","[446, 2252]",mORF,"[0.830714, 0.0, 0.0]","[array([[  148,     0,     0],
       [10707,   484,   130]]), array([[  148,     1],
       [10707,   614]])]",8.486464592514695,ChiSquare,"ChiSquareResult(statistic=16.39548751994453, adjusted_pvalue=0.0007784527826085941, adjusted_bootstrap_pvalue=0.010328824141519252, adjusted_residuals=array([[ 2.91219539, -2.57024125, -1.31109915],
       [-2.91219539,  2.57024125,  1.31109915]]), adjusted_posthoc_pvalues=[0.00730303831134966, 0.00730303831134966])"
AT1G20900.1,uORF,ATG,ATG,"[282, 291]",uORF,"[69.0, 0.0, 0.0]","[468, 1404]",mORF,"[1.0, 1.0, 0.0]","[array([[ 69,   0,   0],
       [771, 168,  13]]), array([[ 69,   1],
       [771, 181]])]",16.1791648116078,ChiSquare,"ChiSquareResult(statistic=27.98669218730756, adjusted_pvalue=3.5690966037820345e-06, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[ 3.99317724, -3.817676  , -0.97692304],
       [-3.99317724,  3.817676  ,  0.97692304]]), adjusted_posthoc_pvalues=[0.00016834382611744515, 0.00016834382611744515])"
AT1G29950.1,uORF,ATG,ATG,"[490, 637]",uORF,"[1.65271, 0.0, 0.0]","[993, 1749]",mORF,"[0.0, 5.78447, 0.0]","[array([[188,   9,   9],
       [ 81,  14,   0]]), array([[188,  19],
       [ 81,  14]])]",1.7069480105176422,ChiSquare,"ChiSquareResult(statistic=15.41792097214393, adjusted_pvalue=0.001219120762096701, adjusted_bootstrap_pvalue=0.005432950191570881, adjusted_residuals=array([[ 1.56929576, -3.14690452,  2.0684321 ],
       [-1.56929576,  3.14690452, -2.0684321 ]]), adjusted_posthoc_pvalues=[0.1789059273082003, 0.1789059273082003])"
AT1G35320.1,dORF,ATG,ATG,"[777, 813]",dORF,"[32.2479, 1.79155, 0.0]","[0, 468]",mORF,"[0.0, 0.0, 0.0]","[array([[47,  4,  0],
       [37,  9,  9]]), array([[47,  4],
       [37, 19]])]",5.937947870744492,ChiSquare,"ChiSquareResult(statistic=15.492514910959457, adjusted_pvalue=0.0011796541715578316, adjusted_bootstrap_pvalue=0.00792389568919638, adjusted_residuals=array([[ 3.15639204, -1.33619933, -3.01989653],
       [-3.15639204,  1.33619933,  3.01989653]]), adjusted_posthoc_pvalues=[0.0034097199409229735, 0.0034097199409229735])"
AT1G50440.1,uORF,ATG,ATG,"[72, 87]",uORF,"[4.68351, 0.0, 0.0]","[236, 989]",mORF,"[0.0, 0.585438, 0.0]","[array([[ 33,   2,   0],
       [194,  84,  15]]), array([[ 33,   2],
       [194, 100]])]",8.4698266637552,ChiSquare,"ChiSquareResult(statistic=15.534646715953922, adjusted_pvalue=0.0011588862166811262, adjusted_bootstrap_pvalue=0.00792389568919638, adjusted_residuals=array([[ 3.40045584, -2.9182241 , -1.37028402],
       [-3.40045584,  2.9182241 ,  1.37028402]]), adjusted_posthoc_pvalues=[0.0015141899601515566, 0.0015141899601515566])"
AT1G53887.1,uORF,ATG,ATG,"[304, 388]",uORF,"[24.0, 0.0, 0.0]","[432, 528]",mORF,"[2.0, 0.0, 0.0]","[array([[38,  0,  0],
       [58,  9, 11]]), array([[38,  1],
       [58, 20]])]",12.91510847150634,ChiSquare,"ChiSquareResult(statistic=17.842883824577413, adjusted_pvalue=0.0003957818082805351, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[ 3.43125404, -2.18023274, -2.4331853 ],
       [-3.43125404,  2.18023274,  2.4331853 ]]), adjusted_posthoc_pvalues=[0.0013609123262976392, 0.0013609123262976392])"
AT1G71980.1,uORF,ATG,ATG,"[422, 449]",uORF,"[0.0, 0.0, 0.0]","[547, 1894]",mORF,"[4.0, 0.0, 0.0]","[array([[3341,   23,    1],
       [2429,  120,   23]]), array([[3341,   24],
       [2429,  143]])]",8.192968532700199,ChiSquare,"ChiSquareResult(statistic=135.57297374823767, adjusted_pvalue=1.1351413754924318e-28, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[ 11.1919862 ,  -9.91674089,  -5.20212837],
       [-11.1919862 ,   9.91674089,   5.20212837]]), adjusted_posthoc_pvalues=[6.187421499675352e-28, 6.187421499675352e-28])"
AT2G20410.1,uORF,ATG,ATG,"[156, 204]",uORF,"[0.0, 1.43775, 1263.79]","[378, 1398]",mORF,"[0.0, 0.0, 0.0]","[array([[36678,   260,  1486],
       [  609,    34,     3]]), array([[36678,  1747],
       [  609,    38]])]",1.310013171907813,ChiSquare,"ChiSquareResult(statistic=108.05010905122401, adjusted_pvalue=7.599389283536645e-23, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[  1.42942103, -13.37720066,   4.47988549],
       [ -1.42942103,  13.37720066,  -4.47988549]]), adjusted_posthoc_pvalues=[0.2266307076877807, 0.2266307076877807])"
AT2G32070.1,uORF,ATG,ATG,"[188, 215]",uORF,"[0.0, 0.0, 0.0]","[270, 1098]",mORF,"[4.0, 0.0, 9.0]","[array([[ 118,    1,    0],
       [3529,  172,  268]]), array([[ 118,    1],
       [3529,  440]])]",14.708540868809795,ChiSquare,"ChiSquareResult(statistic=22.082270165129252, adjusted_pvalue=5.489993742232125e-05, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[ 3.54992219, -1.86513427, -2.93240594],
       [-3.54992219,  1.86513427,  2.93240594]]), adjusted_posthoc_pvalues=[0.0008987158736171912, 0.0008987158736171912])"
