tid,boss,start_codon_x,start_codon_y,ORF_range_x,ORF_type_x,start_rprofile_x,ORF_range_y,ORF_type_y,start_rprofile_y,tab,odds_ratio,statistical test,result
ENST00000083182.8,dORF,ATG,ATG,"[4332, 4398]",dORF,"[64.0, 0.0, 0.0]","[311, 2069]",mORF,"[158.0, 158.0, 158.0]","[array([[   80,    15,    16],
       [32587, 32532, 32407]]), array([[   80,    31],
       [32587, 64939]])]",5.142588563586036,ChiSquare,"ChiSquareResult(statistic=69.07370070939518, adjusted_pvalue=3.0318077898603202e-15, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[ 8.62704235, -4.43241004, -4.20657436],
       [-8.62704235,  4.43241004,  4.20657436]]), adjusted_posthoc_pvalues=[2.2226388238971764e-17, 2.2226388238971764e-17])"
ENST00000223095.5,dORF,ATG,ATG,"[3120, 3156]",dORF,"[46.0, 0.0, 0.0]","[142, 1351]",mORF,"[653.0, 552.0, 546.0]","[array([[   46,     0,     0],
       [89622, 89240, 89096]]), array([[    46,      1],
       [ 89622, 178336]])]",91.53296506830861,ChiSquare,"ChiSquareResult(statistic=100.74539727713257, adjusted_pvalue=8.845101468363424e-22, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[ 9.56570447, -4.79243177, -4.78663611],
       [-9.56570447,  4.79243177,  4.78663611]]), adjusted_posthoc_pvalues=[6.833026372440246e-21, 6.833026372440246e-21])"
ENST00000225577.9,dORF,ATG,ATG,"[4244, 4268]",dORF,"[52.0, 3.0, 3.0]","[64, 1642]",mORF,"[2.09709, 2.09709, 2.09709]","[array([[   73,    24,    24],
       [10866, 10819, 10741]]), array([[   73,    48],
       [10866, 21561]])]",3.0176214869206066,ChiSquare,"ChiSquareResult(statistic=36.12113019249116, adjusted_pvalue=2.3034784703412987e-08, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[ 6.2339675 , -3.15183709, -3.10143053],
       [-6.2339675 ,  3.15183709,  3.10143053]]), adjusted_posthoc_pvalues=[7.30764283364053e-10, 7.30764283364053e-10])"
ENST00000225577.9,dORF,ATG,ATG,"[4508, 4541]",dORF,"[45.0, 9.0, 9.0]","[64, 1642]",mORF,"[2.09709, 2.09709, 2.09709]","[array([[   82,    44,    37],
       [10866, 10819, 10741]]), array([[   82,    81],
       [10866, 21561]])]",2.0087134698237494,ChiSquare,"ChiSquareResult(statistic=19.911358804474528, adjusted_pvalue=5.699773044168992e-05, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[ 4.52888602, -1.72124116, -2.82199538],
       [-4.52888602,  1.72124116,  2.82199538]]), adjusted_posthoc_pvalues=[7.085048818177519e-06, 7.085048818177519e-06])"
ENST00000227520.10,dORF,ATG,ATG,"[1846, 1849]",dORF,"[120.0, 47.0, 47.0]","[12, 1095]",mORF,"[256.0, 256.0, 256.0]","[array([[  120,    47,    47],
       [71579, 71246, 71428]]), array([[   120,     94],
       [ 71579, 142674]])]",2.544547368985322,ChiSquare,"ChiSquareResult(statistic=46.01585552941554, adjusted_pvalue=1.8826487820284163e-10, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[ 7.02515676, -3.50438502, -3.52849601],
       [-7.02515676,  3.50438502,  3.52849601]]), adjusted_posthoc_pvalues=[3.9857173677190385e-12, 3.9857173677190385e-12])"
ENST00000231368.10,dORF,ATG,ATG,"[7714, 7762]",dORF,"[52.0, 5.0, 5.0]","[76, 3154]",mORF,"[48.0, 48.0, 48.0]","[array([[   87,    35,    35],
       [25755, 25642, 25642]]), array([[   87,    70],
       [25755, 51284]])]",2.4747765604548686,ChiSquare,"ChiSquareResult(statistic=31.74630323855476, adjusted_pvalue=1.895981563509832e-07, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[ 5.83092155, -2.92012572, -2.92012572],
       [-5.83092155,  2.92012572,  2.92012572]]), adjusted_posthoc_pvalues=[8.180540426253938e-09, 8.180540426253938e-09])"
ENST00000234453.10,dORF,ATG,ATG,"[1890, 1896]",dORF,"[40.0, 13.0, 13.0]","[413, 1316]",mORF,"[55.0, 55.0, 55.0]","[array([[   53,    26,    26],
       [11084, 10997, 10961]]), array([[   53,    52],
       [11084, 21958]])]",2.0191047126307384,ChiSquare,"ChiSquareResult(statistic=12.686728663249848, adjusted_pvalue=0.0019792353983114335, adjusted_bootstrap_pvalue=0.01895215311004785, adjusted_residuals=array([[ 3.66723337, -1.85014905, -1.82799287],
       [-3.66723337,  1.85014905,  1.82799287]]), adjusted_posthoc_pvalues=[0.0002800442979417657, 0.0002800442979417657])"
ENST00000234453.10,dORF,ATG,ATG,"[2113, 2152]",dORF,"[21.0, 6.0, 3.0]","[413, 1316]",mORF,"[55.0, 55.0, 55.0]","[array([[   30,    15,     9],
       [11084, 10997, 10961]]), array([[   30,    24],
       [11084, 21958]])]",2.476243352528823,ChiSquare,"ChiSquareResult(statistic=12.43552155504032, adjusted_pvalue=0.002233332523968004, adjusted_bootstrap_pvalue=0.016802884615384615, adjusted_residuals=array([[ 3.42197124, -0.85769446, -2.57461228],
       [-3.42197124,  0.85769446,  2.57461228]]), adjusted_posthoc_pvalues=[0.0006930790056168546, 0.0006930790056168546])"
ENST00000235521.5,dORF,ATG,ATG,"[1372, 1378]",dORF,"[58.0, 6.0, 6.0]","[9, 1092]",mORF,"[0.0, 0.0, 0.0]","[array([[   64,    12,    12],
       [18549, 18156, 18403]]), array([[   64,    24],
       [18549, 36559]])]",5.255678255515149,ChiSquare,"ChiSquareResult(statistic=55.85171868718923, adjusted_pvalue=1.7525649065087784e-12, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[ 7.74595247, -3.85179088, -3.92779829],
       [-7.74595247,  3.85179088,  3.92779829]]), adjusted_posthoc_pvalues=[2.3267623967878824e-14, 2.3267623967878824e-14])"
ENST00000236925.9,dORF,ATG,ATG,"[7163, 7166]",dORF,"[33.0, 5.0, 5.0]","[49, 4519]",mORF,"[49.0, 49.0, 49.0]","[array([[    33,      5,      5],
       [111796, 111729, 111504]]), array([[    33,     10],
       [111796, 223233]])]",6.589364655908864,ChiSquare,"ChiSquareResult(statistic=33.91107906469772, adjusted_pvalue=6.723066474569664e-08, adjusted_bootstrap_pvalue=0.0, adjusted_residuals=array([[ 6.03141463, -3.0210176 , -3.01319657],
       [-6.03141463,  3.0210176 ,  3.01319657]]), adjusted_posthoc_pvalues=[2.524641644085552e-09, 2.524641644085552e-09])"
