Chromosome	tid	Strand	start_codon	ORF_start	ORF_end	ORF_length	Start	End	ORF_type
Chr1	AT1G01010.1	+	ATG	129	1419	1290	3759	5630	mORF
Chr1	AT1G01040.1	+	ATG	398	6128	5730	23518	31079	mORF
Chr1	AT1G01040.2	+	ATG	103	5836	5733	23518	31079	mORF
Chr1	AT1G01110.1	+	ATG	754	1849	1095	53021	54494	mORF
Chr1	AT1G01110.2	+	ATG	286	1870	1584	52238	54494	mORF
Chr1	AT1G01160.1	+	ATG	244	832	588	72582	73883	mORF
Chr1	AT1G01160.2	+	ATG	226	916	690	72582	73883	mORF
Chr1	AT1G01180.1	+	ATG	243	1167	924	75632	76556	mORF
Chr1	AT1G01210.1	+	ATG	87	408	321	88976	89529	mORF
Chr1	AT1G01210.2	+	ATG	132	453	321	88976	89529	mORF
Chr1	AT1G01210.3	+	ATG	94	415	321	88976	89529	mORF
Chr1	AT1G01220.1	+	ATG	299	3467	3168	91749	95552	mORF
Chr1	AT1G01220.2	+	ATG	1132	3733	2601	92582	95552	mORF
Chr1	AT1G01220.3	+	ATG	795	3666	2871	92245	95552	mORF
Chr1	AT1G01220.4	+	ATG	639	3486	2847	92269	95552	mORF
Chr1	AT1G01220.5	+	ATG	918	3519	2601	92582	95552	mORF
Chr1	AT1G01220.6	+	ATG	899	3500	2601	92582	95552	mORF
Chr1	AT1G01220.7	+	ATG	108	3276	3168	91749	95552	mORF
Chr1	AT1G01220.8	+	ATG	554	3425	2871	92245	95552	mORF
Chr1	AT1G01225.1	+	ATG	129	912	783	96063	97242	mORF
Chr1	AT1G01230.1	+	ATG	208	682	474	97619	99046	mORF
Chr1	AT1G01240.1	+	ATG	192	1188	996	100682	101678	mORF
Chr1	AT1G01240.2	+	ATG	381	1377	996	100682	101678	mORF
Chr1	AT1G01240.3	+	ATG	817	1813	996	100682	101678	mORF
Chr1	AT1G01240.4	+	ATG	303	1299	996	100682	101678	mORF
Chr1	AT1G01240.5	+	ATG	732	1728	996	100682	101678	mORF
Chr1	AT1G01260.1	+	ATG	604	2377	1773	109594	111367	mORF
Chr1	AT1G01260.2	+	ATG	437	2210	1773	109594	111367	mORF
Chr1	AT1G01260.3	+	ATG	574	2347	1773	109594	111367	mORF
Chr1	AT1G01280.1	+	ATG	27	1560	1533	112289	113905	mORF
Chr1	AT1G01290.1	+	ATG	97	910	813	114298	115296	mORF
Chr1	AT1G01290.2	+	ATG	97	910	813	114298	115296	mORF
Chr1	AT1G01300.1	+	ATG	281	1739	1458	117064	118522	mORF
Chr1	AT1G01305.1	+	ATG	48	474	426	119428	119854	mORF
Chr1	AT1G01310.1	+	ATG	67	793	726	120220	120946	mORF
Chr1	AT1G01335.1	+	ATG	0	123	123	130735	130858	mORF
Chr1	AT1G01350.1	+	ATG	210	1242	1032	136731	137970	mORF
Chr1	AT1G01355.1	+	ATG	0	687	687	138512	139568	mORF
Chr1	AT1G01355.2	+	ATG	233	680	447	138721	139568	mORF
Chr1	AT1G01355.3	+	ATG	0	675	675	138512	139568	mORF
Chr1	AT1G01360.1	+	ATG	268	832	564	142137	142914	mORF
Chr1	AT1G01370.1	+	ATG	197	734	537	143772	145400	mORF
Chr1	AT1G01370.2	+	ATG	284	821	537	143772	145400	mORF
Chr1	AT1G01370.3	+	ATG	197	734	537	143772	145400	mORF
Chr1	AT1G01370.4	+	ATG	167	704	537	143772	145400	mORF
Chr1	AT1G01380.1	+	ATG	224	476	252	147266	147740	mORF
Chr1	AT1G01380.2	+	ATG	224	407	183	147266	147567	mORF
Chr1	AT1G01380.3	+	ATG	114	309	195	147266	147694	mORF
Chr1	AT1G01410.1	+	ATG	0	1086	1086	153112	154198	mORF
Chr1	AT1G01460.1	+	ATG	321	1605	1284	169114	171154	mORF
Chr1	AT1G01480.1	+	ATG	156	1647	1491	175861	178051	mORF
Chr1	AT1G01480.2	+	ATG	213	1386	1173	176606	178051	mORF
Chr1	AT1G01500.1	+	ATG	227	1211	984	185259	186573	mORF
Chr1	AT1G01510.1	+	ATG	90	2001	1911	187234	189836	mORF
Chr1	AT1G01520.1	+	ATG	188	1052	864	190595	192139	mORF
Chr1	AT1G01520.2	+	ATG	188	965	777	190595	191895	mORF
Chr1	AT1G01520.3	+	ATG	188	1052	864	190595	192059	mORF
Chr1	AT1G01520.4	+	ATG	188	965	777	190595	191895	mORF
Chr1	AT1G01520.5	+	ATG	452	1064	612	191180	192139	mORF
Chr1	AT1G01540.1	+	ATG	168	1329	1161	195979	197973	mORF
Chr1	AT1G01540.2	+	ATG	335	1754	1419	195979	198383	mORF
Chr1	AT1G01550.1	+	ATG	322	1372	1050	200525	201575	mORF
Chr1	AT1G01550.2	+	ATG	345	1395	1050	200525	201575	mORF
Chr1	AT1G01560.1	+	ATG	209	1037	828	202344	203662	mORF
Chr1	AT1G01560.2	+	ATG	234	1344	1110	202344	204189	mORF
Chr1	AT1G01560.3	+	ATG	242	1283	1041	202344	204035	mORF
Chr1	AT1G01560.4	+	ATG	209	1037	828	202344	203662	mORF
Chr1	AT1G01570.1	+	ATG	0	1437	1437	205175	207435	mORF
Chr1	AT1G01570.2	+	ATG	148	1678	1530	205082	207435	mORF
Chr1	AT1G01580.1	+	ATG	187	2365	2178	209394	212810	mORF
Chr1	AT1G01580.2	+	ATG	166	2578	2412	209160	212810	mORF
Chr1	AT1G01590.1	+	ATG	79	2194	2115	214228	217304	mORF
Chr1	AT1G01600.1	+	ATG	366	2031	1665	219199	220994	mORF
Chr1	AT1G01630.1	+	ATG	407	1175	768	229205	230675	mORF
Chr1	AT1G01690.1	+	ATG	161	1517	1356	249241	252221	mORF
Chr1	AT1G01690.2	+	ATG	201	1554	1353	249241	252221	mORF
Chr1	AT1G01690.3	+	ATG	101	1454	1353	249241	252221	mORF
Chr1	AT1G01695.1	+	ATG	321	1623	1302	252946	254495	mORF
Chr1	AT1G01710.1	+	ATG	122	1406	1284	262949	266029	mORF
Chr1	AT1G01715.1	+	ATG	184	604	420	266516	267504	mORF
Chr1	AT1G01715.2	+	ATG	175	595	420	266516	267504	mORF
Chr1	AT1G01720.1	+	ATG	478	1348	870	268470	269514	mORF
Chr1	AT1G01730.1	+	ATG	205	880	675	271001	271872	mORF
Chr1	AT1G01750.1	+	ATG	340	763	423	275527	276126	mORF
Chr1	AT1G01750.2	+	ATG	283	721	438	275613	276126	mORF
Chr1	AT1G01770.1	+	ATG	159	2058	1899	278758	282490	mORF
Chr1	AT1G01780.1	+	ATG	158	776	618	282918	284082	mORF
Chr1	AT1G01790.1	+	ATG	345	3927	3582	284780	290869	mORF
Chr1	AT1G01790.2	+	ATG	321	3903	3582	284780	290869	mORF
Chr1	AT1G01800.1	+	ATG	150	1038	888	293395	294888	mORF
Chr1	AT1G01800.2	+	ATG	163	946	783	293594	294888	mORF
Chr1	AT1G01810.1	+	ATG	35	518	483	295241	295724	mORF
Chr1	AT1G01840.1	+	ATG	113	572	459	303649	304108	mORF
Chr1	AT1G01900.1	+	ATG	163	2488	2325	310331	313011	mORF
Chr1	AT1G01920.1	+	ATG	17	1736	1719	316203	319507	mORF
Chr1	AT1G01920.2	+	ATG	221	1865	1644	316203	319507	mORF
Chr1	AT1G01920.3	+	ATG	221	1526	1305	316203	318819	mORF
Chr1	AT1G01920.4	+	ATG	242	1754	1512	316437	319507	mORF
Chr1	AT1G01920.5	+	ATG	91	1645	1554	316203	319342	mORF
Chr1	AT1G01940.1	+	ATG	196	679	483	323081	324719	mORF
Chr1	AT1G01950.1	+	ATG	157	2842	2685	325472	330403	mORF
Chr1	AT1G01950.2	+	ATG	94	2728	2634	325472	330403	mORF
Chr1	AT1G01950.3	+	ATG	94	2842	2748	325472	330403	mORF
Chr1	AT1G01950.4	+	ATG	659	2921	2262	326361	330403	mORF
Chr1	AT1G01970.1	+	ATG	297	1527	1230	338537	339905	mORF
Chr1	AT1G02000.1	+	ATG	536	1841	1305	346051	347356	mORF
Chr1	AT1G02010.1	+	ATG	433	2455	2022	348045	352197	mORF
Chr1	AT1G02010.2	+	ATG	72	2055	1983	348045	352197	mORF
Chr1	AT1G02010.3	+	ATG	241	2077	1836	348045	351699	mORF
Chr1	AT1G02010.4	+	ATG	222	2334	2112	348045	352197	mORF
Chr1	AT1G02010.5	+	ATG	402	2328	1926	348225	352197	mORF
Chr1	AT1G02010.6	+	ATG	47	1622	1575	349066	352197	mORF
Chr1	AT1G02065.1	+	ATG	416	1418	1002	365624	367149	mORF
Chr1	AT1G02065.2	+	ATG	460	1201	741	365624	366365	mORF
Chr1	AT1G02080.1	+	ATG	0	7296	7296	373334	386682	mORF
Chr1	AT1G02080.2	+	ATG	207	7341	7134	373693	386682	mORF
Chr1	AT1G02080.3	+	ATG	193	7330	7137	373693	386682	mORF
Chr1	AT1G02100.1	+	ATG	64	1063	999	389875	392448	mORF
Chr1	AT1G02100.2	+	ATG	55	976	921	389875	392293	mORF
Chr1	AT1G02100.3	+	ATG	53	1052	999	389875	392448	mORF
Chr1	AT1G02110.1	+	ATG	108	2220	2112	392938	395434	mORF
Chr1	AT1G02120.1	+	ATG	72	1869	1797	395760	399720	mORF
Chr1	AT1G02120.2	+	ATG	72	1494	1422	395760	399083	mORF
Chr1	AT1G02120.3	+	ATG	72	1332	1260	395760	399027	mORF
Chr1	AT1G02145.1	+	ATG	27	1509	1482	404626	408485	mORF
Chr1	AT1G02145.2	+	ATG	228	1227	999	404914	408485	mORF
Chr1	AT1G02145.3	+	ATG	27	1521	1494	404626	408485	mORF
Chr1	AT1G02145.4	+	ATG	228	1590	1362	404914	408485	mORF
Chr1	AT1G02150.1	+	ATG	157	1732	1575	408778	410433	mORF
Chr1	AT1G02160.1	+	ATG	59	275	216	410802	411383	mORF
Chr1	AT1G02160.2	+	ATG	55	331	276	410802	411361	mORF
Chr1	AT1G02170.1	+	ATG	219	1323	1104	411882	413426	mORF
Chr1	AT1G02190.1	+	ATG	80	1964	1884	415153	417796	mORF
Chr1	AT1G02190.2	+	ATG	75	1947	1872	415153	417796	mORF
Chr1	AT1G02205.1	+	ATG	688	2074	1386	419649	422154	mORF
Chr1	AT1G02205.2	+	ATG	402	2280	1878	418817	422154	mORF
Chr1	AT1G02205.3	+	ATG	70	1963	1893	418817	422154	mORF
Chr1	AT1G02205.4	+	ATG	198	2079	1881	418923	422154	mORF
Chr1	AT1G02205.5	+	ATG	1532	2693	1161	420493	422154	mORF
Chr1	AT1G02300.1	+	ATG	181	1321	1140	453287	455376	mORF
Chr1	AT1G02305.1	+	ATG	128	1217	1089	455815	457974	mORF
Chr1	AT1G02320.1	+	ATG	0	147	147	461827	461974	mORF
Chr1	AT1G02350.1	+	ATG	0	423	423	469817	470693	mORF
Chr1	AT1G02370.1	+	ATG	143	1757	1614	474515	476383	mORF
Chr1	AT1G02380.1	+	ATG	359	1055	696	477813	478850	mORF
Chr1	AT1G02390.1	+	ATG	271	1864	1593	480920	483163	mORF
Chr1	AT1G02400.1	+	ATG	164	1154	990	486963	489391	mORF
Chr1	AT1G02400.2	+	ATG	163	961	798	486963	489116	mORF
Chr1	AT1G02410.1	+	ATG	213	1077	864	491299	492762	mORF
Chr1	AT1G02410.2	+	ATG	375	1239	864	491299	492762	mORF
Chr1	AT1G02410.3	+	ATG	256	1120	864	491299	492762	mORF
Chr1	AT1G02420.1	+	ATG	44	1520	1476	493682	495158	mORF
Chr1	AT1G02490.1	+	ATG	49	166	117	516617	516734	mORF
Chr1	AT1G02500.1	+	ATG	289	1471	1182	519036	520218	mORF
Chr1	AT1G02500.2	+	ATG	129	1311	1182	519036	520218	mORF
Chr1	AT1G02520.1	+	ATG	149	3986	3837	524133	528745	mORF
Chr1	AT1G02520.2	+	ATG	183	4020	3837	524133	528745	mORF
Chr1	AT1G02520.3	+	ATG	47	3884	3837	524133	528745	mORF
Chr1	AT1G02530.1	+	ATG	157	3979	3822	529835	534542	mORF
Chr1	AT1G02530.2	+	ATG	157	3070	2913	529835	533354	mORF
Chr1	AT1G02550.1	+	ATG	0	729	729	536482	537211	mORF
Chr1	AT1G02560.1	+	ATG	260	1157	897	537999	539805	mORF
Chr1	AT1G02570.1	+	ATG	144	981	837	541379	542216	mORF
Chr1	AT1G02575.1	+	ATG	142	973	831	543152	543983	mORF
Chr1	AT1G02580.1	+	ATG	63	2133	2070	544795	548994	mORF
Chr1	AT1G02580.2	+	ATG	63	1818	1755	544795	548253	mORF
Chr1	AT1G02620.1	+	ATG	0	369	369	557091	557668	mORF
Chr1	AT1G02640.1	+	ATG	275	2582	2307	564292	567580	mORF
Chr1	AT1G02650.1	+	ATG	146	1688	1542	568703	570418	mORF
Chr1	AT1G02650.2	+	ATG	247	1780	1533	568804	570418	mORF
Chr1	AT1G02670.1	+	ATG	124	2161	2037	576045	580299	mORF
Chr1	AT1G02670.2	+	ATG	295	2227	1932	576561	579980	mORF
Chr1	AT1G02670.3	+	ATG	295	2368	2073	576561	580299	mORF
Chr1	AT1G02670.4	+	ATG	295	1882	1587	576561	579327	mORF
Chr1	AT1G02670.5	+	ATG	137	1988	1851	576561	579980	mORF
Chr1	AT1G02670.6	+	ATG	137	2129	1992	576561	580299	mORF
Chr1	AT1G02670.7	+	ATG	84	2088	2004	576561	580299	mORF
Chr1	AT1G02680.1	+	ATG	135	516	381	581083	581919	mORF
Chr1	AT1G02690.1	+	ATG	263	1880	1617	584396	587036	mORF
Chr1	AT1G02690.2	+	ATG	137	1757	1620	584396	587036	mORF
Chr1	AT1G02700.1	+	ATG	364	1108	744	588366	589232	mORF
Chr1	AT1G02705.1	+	ATG	0	426	426	589583	590406	mORF
Chr1	AT1G02720.1	+	ATG	433	1519	1086	592114	593200	mORF
Chr1	AT1G02720.2	+	ATG	289	1375	1086	592114	593200	mORF
Chr1	AT1G02750.1	+	ATG	184	850	666	602672	604134	mORF
Chr1	AT1G02750.2	+	ATG	72	690	618	602672	604134	mORF
Chr1	AT1G02810.1	+	ATG	223	1963	1740	618283	620333	mORF
Chr1	AT1G02813.1	+	ATG	95	545	450	620772	621222	mORF
